generation,gender,treatment,ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
GO000012-F0,NA,AHR 5uM BaP,AHR 5uM BaP-NA-Arena 10-1,276.186,262.848,266.35,283.375,222.311,230.205,214.274,206.318,199.527,230.431,211.074,208.561,228.099,210.69,221.358,207.687,194.178,163.785,162.523,166.924,190.388,188.733,210.095,188.957,180.911,200.667,180.639,204.211,219.028,171.668,177.116,167.293,171.725,153.963,148.868,148.189,46.348
GO000012-F0,NA,AHR 5uM BaP,AHR 5uM BaP-NA-Arena 10-3,200.413,228.643,206.898,265.947,357.917,353.921,253.471,191.866,178.315,164.359,263.922,282.757,238.471,276.498,236.025,289.015,169.306,198.317,185.837,170.89,165.803,170.723,220.554,148.428,153.064,245.638,240.063,202.872,200.206,220.458,319.243,276.122,194.971,181.434,176.139,189.934,266.924
GO000012-F0,NA,AHR 5uM BaP,AHR 5uM BaP-NA-Arena 10-4,151.634,186.033,189.852,211.146,249.867,232.363,192.681,200.255,204.62,173.205,172.913,218.614,205.433,189.391,182.216,198.571,204.857,169.102,159.356,154.6,162.194,170.596,171.721,161.962,156.96,159.775,178.165,167.936,184.909,223.919,187.121,166.1,175.418,195.474,190.611,158.389,21.628
GO000012-F0,NA,AHR 5uM BaP,AHR 5uM BaP-NA-Arena 11-1,316.251,309.13,292.464,321.829,319.671,322.849,307.916,230.347,208.587,256.786,231.517,222.391,240.402,238.945,229.89,199.785,221.929,193.146,214.122,244.629,225.081,188.463,193.849,180.942,181.448,182.578,193.232,185.137,226.909,219.085,198.481,212.566,195.916,209.868,236.688,172.163,52.032
GO000012-F0,NA,AHR 5uM BaP,AHR 5uM BaP-NA-Arena 11-3,290.282,260.962,308.963,233.019,297.068,267.85,204.673,205.644,225.498,233.311,191.752,160.812,167.938,166.469,155.03,140.375,141.074,165.299,156.98,186.948,162.069,154.157,197.692,162.608,140.506,157.266,134.079,276.316,154.154,147.694,157.272,140.72,156.155,133.982,123.026,165.811,191.115
GO000012-F0,NA,AHR 5uM BaP,AHR 5uM BaP-NA-Arena 11-4,211.366,155.718,174.956,190.528,182.748,379.985,304.117,238.925,228.978,209.546,192.817,214.119,204.562,214.843,200.452,213.142,194.098,196.199,174.558,254.124,212.108,195.048,194.84,182.955,200.261,184.568,196.325,190.376,191.111,196.76,183.16,179.998,184.412,176.401,293.769,182.836,21.313
GO000012-F0,NA,AHR 5uM BaP,AHR 5uM BaP-NA-Arena 12-1,223.612,265.822,253.018,212.843,203.435,249.994,215.53,207.253,197.601,184.968,179.948,144.14,155.953,341.801,379.886,330.146,337.535,325.71,224.608,271.761,296.394,246.574,247.193,249.663,262.902,299.71,249.782,170.337,174.499,182.523,178.438,169.359,114.999,148.626,239.133,241.554,63.651
GO000012-F0,NA,AHR 5uM BaP,AHR 5uM BaP-NA-Arena 12-3,242.785,227.139,251.46,259.613,219.821,229.889,625.734,439.218,335.083,306.114,304.693,340.033,320.964,335.339,249.378,240.184,250.441,265.244,250.384,249.817,237.677,252.478,237.139,209.161,251.874,226.84,268.388,232.192,240.364,260.621,238.504,236.108,251,728.598,519.08,347.531,323.736
GO000012-F0,NA,AHR 5uM BaP,AHR 5uM BaP-NA-Arena 12-4,170.875,206.872,221.647,270.549,270.982,286.005,303.71,296.509,284.654,169.781,176.486,187.349,205.966,129.769,152.963,115.474,117.88,90.508,126.489,169.936,145.083,133.07,142.814,100.178,93.133,240.104,14.226,157.778,136.06,197.981,136.154,166.799,152.613,195.057,231.001,204.121,22.569
GO000012-F0,NA,AHR 5uM BaP,AHR 5uM BaP-NA-Arena 13-1,365.338,216.426,227.169,212.846,220.578,271.172,315.611,225.623,237.712,193.35,455.459,411.323,322.879,234.032,225.732,233.27,386.612,352.809,281.058,205.326,183.401,208.934,207.095,214.453,275.573,513.28,150.401,323.162,206.109,199.472,230.129,205.787,300.268,218.32,236.889,184.392,53.376
