generation,gender,treatment,ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
GO000012-F0,NA,AHR 5uM BaP,Tank01_AHR 5uM BaP_Video Camera 5 5-17-2018 11-20-17 AM 1,0.291,0.396,0.302,0.26,0.532,0.509,0.498,0.239,0.321,0.399,0.539,0.483,0.328,0.338,0.453,0.531,0.398,0.401,0.498,0.433
GO000012-F0,NA,AHR 5uM BaP,Tank01_AHR 5uM BaP_Video Camera 5 5-25-2018 10-01-29 AM 1,0.303,0.326,0.29,0.292,0.299,0.281,0.385,0.336,0.289,0.328,0.292,0.303,0.294,0.251,0.324,0.4,0.325,0.354,0.334,0.417
GO000012-F0,NA,AHR 5uM BaP,Tank02_AHR 5uM BaP_Video Camera 5 5-17-2018 11-20-17 AM 1,0.314,0.362,0.36,0.326,0.344,0.372,0.383,0.315,0.324,0.346,0.341,0.345,0.349,0.4,0.352,0.375,0.476,0.378,0.387,0.425
GO000012-F0,NA,AHR 5uM BaP,Tank02_AHR 5uM BaP_Video Camera 5 5-25-2018 10-01-29 AM 1,0.347,0.444,0.399,0.341,0.306,0.378,0.366,0.308,0.304,0.334,0.317,0.313,0.305,0.356,0.301,0.325,0.285,0.327,0.38,0.38
GO000012-F0,NA,AHR 5uM BaP,Tank03_AHR 5uM BaP_Video Camera 5 5-17-2018 11-20-17 AM 1,0.284,0.291,0.244,0.232,0.335,0.312,0.304,0.24,0.197,0.262,0.286,0.185,0.234,0.264,0.318,0.251,0.252,0.24,0.251,0.23
GO000012-F0,NA,AHR 5uM BaP,Tank03_AHR 5uM BaP_Video Camera 5 5-25-2018 10-01-29 AM 1,0.214,0.286,0.255,0.25,0.233,0.229,0.273,0.264,0.272,0.262,0.201,0.267,0.255,0.219,0.245,0.268,0.225,0.261,0.301,0.278
GO000012-F0,NA,AHR DMSO,Tank01_AHR DMSO_Video Camera 5 5-16-2018 11-21-39 AM 1,0.349,0.354,0.473,0.499,0.448,0.405,0.339,0.476,0.41,0.386,0.434,0.44,0.523,0.495,0.413,0.446,0.486,0.553,0.564,0.389
GO000012-F0,NA,AHR DMSO,Tank01_AHR DMSO_Video Camera 5 5-18-2018 10-42-58 AM 1,0.304,0.385,0.311,0.295,0.341,0.382,0.398,0.321,0.382,0.408,0.323,0.311,0.345,0.287,0.316,0.336,0.381,0.297,0.394,0.37
GO000012-F0,NA,AHR DMSO,Tank01_AHR DMSO_Video Camera 5 5-24-2018 10-14-25 AM 1,0.315,0.251,0.326,0.293,0.297,0.304,0.348,0.348,0.247,0.329,0.299,0.319,0.318,0.318,0.302,0.329,0.377,0.303,0.246,0.357
GO000012-F0,NA,AHR DMSO,Tank02_AHR DMSO_Video Camera 5 5-16-2018 11-21-39 AM 1,0.293,0.284,0.265,0.24,0.248,0.226,0.273,0.26,0.249,0.241,0.275,0.277,0.234,0.258,0.275,0.294,0.335,0.464,0.666,0.708
GO000012-F0,NA,AHR DMSO,Tank02_AHR DMSO_Video Camera 5 5-18-2018 10-42-58 AM 1,0.264,0.299,0.275,0.251,0.206,0.218,0.216,0.234,0.244,0.232,0.222,0.246,0.233,0.222,0.244,0.258,0.243,0.222,0.219,0.235
GO000012-F0,NA,AHR DMSO,Tank02_AHR DMSO_Video Camera 5 5-24-2018 10-14-25 AM 1,0.27,0.346,0.268,0.245,0.234,0.258,0.261,0.236,0.267,0.238,0.23,0.254,0.28,0.245,0.251,0.253,0.255,0.291,0.389,0.412
GO000012-F0,NA,AHR DMSO,Tank03_AHR DMSO_Video Camera 5 5-16-2018 11-21-39 AM 1,0.272,0.277,0.376,0.492,0.446,0.383,0.274,0.377,0.458,0.399,0.373,0.4,0.453,0.574,0.484,0.434,0.446,0.472,0.472,0.342
GO000012-F0,NA,AHR DMSO,Tank03_AHR DMSO_Video Camera 5 5-18-2018 10-42-58 AM 1,0.319,0.284,0.27,0.31,0.258,0.278,0.311,0.334,0.239,0.277,0.255,0.339,0.307,0.391,0.309,0.353,0.346,0.374,0.293,0.341
GO000012-F0,NA,AHR DMSO,Tank03_AHR DMSO_Video Camera 5 5-24-2018 10-14-25 AM 1,0.279,0.314,0.274,0.318,0.275,0.289,0.295,0.326,0.287,0.29,0.292,0.276,0.299,0.333,0.256,0.239,0.259,0.263,0.364,0.408
GO000012-F0,NA,COMO 5uM BaP,Tank01_COMO 5uM BaP_Video Camera 5 5-16-2018 10-40-23 AM 1,0.371,0.464,0.442,0.461,0.389,0.388,0.417,0.344,0.433,0.439,0.486,0.417,0.389,0.41,0.47,0.395,0.361,0.369,0.409,0.413
GO000012-F0,NA,COMO 5uM BaP,Tank01_COMO 5uM BaP_Video Camera 5 5-17-2018 12-11-24 PM 1,0.227,0.256,0.235,0.262,0.259,0.253,0.262,0.277,0.355,0.236,0.22,0.223,0.209,0.228,0.245,0.205,0.246,0.303,0.32,0.246
GO000012-F0,NA,COMO 5uM BaP,Tank02_COMO 5uM BaP_Video Camera 5 5-16-2018 10-40-23 AM 1,0.273,0.238,0.261,0.254,0.233,0.3,0.222,0.247,0.301,0.325,0.321,0.373,0.373,0.324,0.323,0.332,0.371,0.319,0.285,0.314
GO000012-F0,NA,COMO 5uM BaP,Tank02_COMO 5uM BaP_Video Camera 5 5-17-2018 12-11-24 PM 1,0.317,0.615,0.612,0.634,0.277,0.275,0.353,0.359,0.693,0.42,0.267,0.28,0.616,0.585,0.385,0.371,0.3,0.287,0.436,0.634
GO000012-F0,NA,COMO 5uM BaP,Tank03_COMO 5uM BaP_Video Camera 5 5-16-2018 10-40-23 AM 1,0.371,0.512,0.371,0.374,0.397,0.418,0.314,0.338,0.336,0.368,0.283,0.353,0.29,0.321,0.396,0.333,0.403,0.301,0.374,0.426
GO000012-F0,NA,COMO 5uM BaP,Tank03_COMO 5uM BaP_Video Camera 5 5-17-2018 12-11-24 PM 1,0.308,0.253,0.295,0.348,0.379,0.41,0.35,0.363,0.462,0.419,0.42,0.472,0.47,0.435,0.315,0.332,0.39,0.354,0.365,0.34
GO000012-F0,NA,COMO DMSO,Tank01_COMO DMSO_Video Camera 5 5-16-2018 12-27-52 PM 1,0.28,0.247,0.272,0.298,0.236,0.259,0.302,0.253,0.278,0.259,0.333,0.321,0.316,0.307,0.312,0.275,0.292,0.298,0.345,0.296
GO000012-F0,NA,COMO DMSO,Tank01_COMO DMSO_Video Camera 5 5-23-2018 9-40-32 AM 1,0.316,0.278,0.3,0.289,0.337,0.358,0.231,0.228,0.206,0.195,0.208,0.199,0.184,0.286,0.225,0.254,0.233,0.205,0.201,0.2
GO000012-F0,NA,COMO DMSO,Tank02_COMO DMSO_Video Camera 5 5-16-2018 12-27-52 PM 1,0.259,0.233,0.261,0.262,0.257,0.232,0.309,0.228,0.319,0.24,0.275,0.293,0.329,0.318,0.352,0.299,0.298,0.259,0.285,0.238
GO000012-F0,NA,COMO DMSO,Tank02_COMO DMSO_Video Camera 5 5-23-2018 9-40-32 AM 1,0.262,0.475,0.394,0.481,0.451,0.34,0.406,0.359,0.323,0.411,0.294,0.388,0.389,0.374,0.396,0.388,0.302,0.35,0.417,0.578
GO000012-F0,NA,COMO DMSO,Tank03_COMO DMSO_Video Camera 5 5-16-2018 12-27-52 PM 1,0.284,0.304,0.325,0.281,0.333,0.292,0.315,0.32,0.307,0.31,0.298,0.33,0.336,0.323,0.369,0.36,0.292,0.263,0.249,0.357
GO000012-F0,NA,COMO DMSO,Tank03_COMO DMSO_Video Camera 5 5-23-2018 9-40-32 AM 1,0.355,0.362,0.372,0.373,0.339,0.362,0.34,0.36,0.377,0.335,0.358,0.398,0.385,0.353,0.412,0.379,0.393,0.376,0.376,0.321
