generation,gender,treatment,ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
GO000012-F0,NA,AHR 5uM BaP,Tank01_AHR 5uM BaP_Video Camera 5 5-17-2018 11-20-17 AM 1,0.651,0.836,0.727,0.749,0.955,1.017,0.867,0.754,0.692,0.756,0.917,0.948,0.667,0.66,0.72,0.88,0.798,0.832,1.476,1.217
GO000012-F0,NA,AHR 5uM BaP,Tank01_AHR 5uM BaP_Video Camera 5 5-25-2018 10-01-29 AM 1,0.678,0.727,0.756,0.713,0.699,0.729,0.801,0.757,0.639,0.661,0.754,0.678,0.586,0.681,0.734,0.634,0.929,0.719,0.666,0.656
GO000012-F0,NA,AHR 5uM BaP,Tank02_AHR 5uM BaP_Video Camera 5 5-17-2018 11-20-17 AM 1,0.644,0.669,0.653,0.604,0.639,0.64,0.647,0.606,0.613,0.786,0.635,0.829,0.71,0.734,0.654,0.518,0.552,0.57,0.693,0.514
GO000012-F0,NA,AHR 5uM BaP,Tank02_AHR 5uM BaP_Video Camera 5 5-25-2018 10-01-29 AM 1,0.831,0.688,0.708,0.898,0.847,0.653,0.634,0.881,0.786,0.678,0.716,0.806,0.814,0.642,0.779,0.576,1.088,0.757,0.623,0.529
GO000012-F0,NA,AHR 5uM BaP,Tank03_AHR 5uM BaP_Video Camera 5 5-17-2018 11-20-17 AM 1,0.706,0.713,0.798,0.369,0.596,0.591,0.667,0.535,0.453,0.605,0.415,0.423,0.417,0.576,0.641,0.49,0.574,0.567,0.619,0.617
GO000012-F0,NA,AHR 5uM BaP,Tank03_AHR 5uM BaP_Video Camera 5 5-25-2018 10-01-29 AM 1,0.581,0.719,0.721,0.612,0.602,0.666,0.739,0.766,0.648,0.653,0.637,0.676,0.669,0.675,0.638,0.635,0.569,0.776,0.663,0.614
GO000012-F0,NA,AHR DMSO,Tank01_AHR DMSO_Video Camera 5 5-16-2018 11-21-39 AM 1,0.614,0.652,0.701,0.641,0.66,0.584,0.585,0.629,0.546,0.571,0.585,0.553,0.635,0.571,0.497,0.624,0.651,0.515,0.596,0.495
GO000012-F0,NA,AHR DMSO,Tank01_AHR DMSO_Video Camera 5 5-18-2018 10-42-58 AM 1,0.802,0.86,0.785,0.796,1.146,0.778,0.734,0.735,0.852,0.714,0.711,0.597,0.74,0.643,0.737,0.668,0.578,0.693,0.66,0.825
GO000012-F0,NA,AHR DMSO,Tank01_AHR DMSO_Video Camera 5 5-24-2018 10-14-25 AM 1,0.655,0.616,0.572,0.668,0.68,0.541,0.568,0.661,0.587,0.657,0.55,0.621,0.614,0.662,0.622,0.688,0.66,0.582,0.764,0.868
GO000012-F0,NA,AHR DMSO,Tank02_AHR DMSO_Video Camera 5 5-16-2018 11-21-39 AM 1,0.682,0.662,0.619,0.619,0.672,0.484,0.659,0.509,0.423,0.481,0.477,0.524,0.503,0.587,0.753,0.698,0.66,1.216,0.849,0.515
