generation,gender,treatment,ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
GO000012-F0,NA,AHR 5uM BaP,Tank01_AHR 5uM BaP_Video Camera 5 5-22-2018 9-56-12 AM 1,0.839,1.123,1.232,1.159,1.322,1.16,1.019,1.265,1.298,1.454,1.368,0.997,0.984,1.078,1.22,0.995,0.909,1.903,0.763,0.605,1.143,1.091,1.111
GO000012-F0,NA,AHR 5uM BaP,Tank01_AHR 5uM BaP_Video Camera 5 5-25-2018 10-01-29 AM 1,0.678,0.727,0.756,0.713,0.699,0.729,0.801,0.757,0.639,0.661,0.754,0.678,0.586,0.681,0.734,0.634,0.929,0.719,0.666,0.656,0.824,NA,NA
GO000012-F0,NA,AHR 5uM BaP,Tank02_AHR 5uM BaP_Video Camera 5 5-22-2018 9-56-12 AM 1,1.279,0.954,1.502,1.294,1.06,1.343,1.289,1.178,1.281,1.76,1.131,1.278,1.059,1.296,1.332,1.118,1.253,1.304,1.267,1.031,1.149,1.213,1.556
GO000012-F0,NA,AHR 5uM BaP,Tank02_AHR 5uM BaP_Video Camera 5 5-25-2018 10-01-29 AM 1,0.831,0.688,0.708,0.898,0.847,0.653,0.634,0.881,0.786,0.678,0.716,0.806,0.814,0.642,0.779,0.576,1.088,0.757,0.623,0.529,0.505,NA,NA
GO000012-F0,NA,AHR 5uM BaP,Tank03_AHR 5uM BaP_Video Camera 5 5-22-2018 9-56-12 AM 1,0.749,1.093,0.837,1.063,0.597,0.865,0.968,0.593,0.977,1.187,1.058,0.787,0.747,1.045,1.186,1.24,0.833,1.108,0.921,0.86,0.815,0.937,1.043
GO000012-F0,NA,AHR 5uM BaP,Tank03_AHR 5uM BaP_Video Camera 5 5-25-2018 10-01-29 AM 1,0.581,0.719,0.721,0.612,0.602,0.666,0.739,0.766,0.648,0.653,0.637,0.676,0.669,0.675,0.638,0.635,0.569,0.776,0.663,0.614,0.575,NA,NA
GO000012-F0,NA,AHR DMSO,Tank01_AHR DMSO_Video Camera 5 5-24-2018 10-14-25 AM 1,0.655,0.616,0.572,0.668,0.68,0.541,0.568,0.661,0.587,0.657,0.55,0.621,0.614,0.662,0.622,0.688,0.66,0.582,0.764,0.868,NA,NA,NA
GO000012-F0,NA,AHR DMSO,Tank02_AHR DMSO_Video Camera 5 5-24-2018 10-14-25 AM 1,0.694,0.804,0.704,0.771,0.761,0.588,0.711,0.644,0.771,0.76,0.653,0.756,0.725,0.659,0.7,0.73,0.647,0.576,0.674,0.745,NA,NA,NA
GO000012-F0,NA,AHR DMSO,Tank03_AHR DMSO_Video Camera 5 5-24-2018 10-14-25 AM 1,0.681,0.665,0.628,0.745,0.615,0.703,0.68,0.803,0.731,0.688,0.59,0.637,0.635,0.653,0.639,0.629,0.657,0.676,0.651,0.675,NA,NA,NA
GO000012-F0,NA,COMO 5uM BaP,Tank01_COMO 5uM BaP_Video Camera 5 5-16-2018 10-40-23 AM 1,0.556,0.615,0.771,0.574,0.605,0.542,0.567,0.572,0.51,0.537,0.57,0.564,0.554,0.562,0.514,0.549,0.526,0.466,0.548,0.585,0.528,0.393,0.43
GO000012-F0,NA,COMO 5uM BaP,Tank02_COMO 5uM BaP_Video Camera 5 5-16-2018 10-40-23 AM 1,0.525,0.452,0.53,0.417,0.56,0.587,0.41,0.468,0.647,0.574,0.552,0.629,0.774,0.59,0.53,0.505,0.642,0.548,0.623,0.695,0.521,0.533,0.56
GO000012-F0,NA,COMO 5uM BaP,Tank03_COMO 5uM BaP_Video Camera 5 5-16-2018 10-40-23 AM 1,0.728,0.697,0.81,0.666,0.819,0.695,0.583,0.623,0.697,0.63,0.696,0.649,0.641,0.605,0.616,0.659,0.682,0.67,0.66,0.688,0.692,0.57,0.591
GO000012-F0,NA,COMO DMSO,Tank01_COMO DMSO_Video Camera 5 5-23-2018 9-40-32 AM 1,0.861,0.698,0.667,0.772,1.031,1.041,0.423,0.289,0.441,0.311,0.305,0.318,0.279,0.426,0.248,0.395,0.272,0.234,0.155,0.189,0.304,NA,NA
GO000012-F0,NA,COMO DMSO,Tank02_COMO DMSO_Video Camera 5 5-23-2018 9-40-32 AM 1,0.742,1.15,1.021,1.131,1.113,0.809,0.796,0.913,0.782,0.971,0.809,0.752,0.721,0.767,0.644,0.789,0.667,0.685,0.651,0.832,0.786,NA,NA
GO000012-F0,NA,COMO DMSO,Tank03_COMO DMSO_Video Camera 5 5-23-2018 9-40-32 AM 1,0.842,0.713,0.764,0.929,0.817,0.898,0.736,0.774,0.958,0.61,0.692,0.808,0.652,0.717,0.668,0.725,0.712,0.711,0.729,0.716,0.769,NA,NA
