generation,treatment,ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
GO000012-F1,AHR 5然 Bap,AHR 5然 Bap-Arena 1-07062020-540,3.816,3.641,4.101,3.915,4.088,3.877,3.781,4.542,4.337,3.652,3.944,4.309,4.053,4.935,4.528,4.834,5.042,6.001,5.331,5.113,5.613,6.069,5.576,4.203,5.35,4.951,5.199,4.124,4.891
GO000012-F1,AHR 5然 Bap,AHR 5然 Bap-Arena 2-0752020-528,4.081,3.714,3.508,3.414,3.353,3.609,3.648,3.381,3.907,3.415,3.501,3.523,3.601,3.955,3.783,4.425,3.385,3.977,4.255,5.159,5.599,5.7,5.775,4.56,4.59,5.137,4.811,4.44,NA
GO000012-F1,AHR 5然 Bap,AHR 5然 Bap-Arena 2-0752020-1227,4.403,4.482,4.467,4.603,4.102,4.618,4.174,4.1,4.482,4.507,4.734,4.271,4.983,4.961,5.648,4.716,6.203,5.27,5.643,5.213,5.456,5.161,5.449,4.59,4.511,4.685,4.63,5.036,4.914
GO000012-F1,AHR 5然 Bap,AHR 5然 Bap-Arena 3-0752020-528,3.842,4.013,4.238,3.617,4.32,3.58,4.067,4.059,4.108,3.868,4.651,4.125,4.422,4.156,4.128,4.424,4.19,3.825,4.587,4.642,4.525,4.239,3.997,4.681,4.939,4.439,4.106,3.688,NA
GO000012-F1,AHR 5然 Bap,AHR 5然 Bap-Arena 3-0752020-124,3.702,3.133,4.234,4.2,4.138,4.083,4.94,4.749,4.381,4.936,4.824,5.007,4.351,4.21,4.832,4.738,4.658,4.796,4.246,3.028,2.631,2.87,4.086,4.761,3.561,3.955,3.597,5.026,4.442
GO000012-F1,AHR 5然 Bap,AHR 5然 Bap-Arena 4-07062020-540,3.044,2.962,3.395,3.354,3.23,3.591,3.269,3.21,3.227,3.424,2.821,3.607,3.143,2.974,3.494,3.452,3.674,3.422,3.486,3.514,3.518,3.373,3.509,3.312,3.592,3.905,3.176,3.064,3.363
GO000012-F1,AHR 5然 Bap,AHR 5然 Bap-Arena 4-0752020-1134,3.184,3.368,3.231,3.836,4.11,4.14,3.874,3.972,4.259,4.66,4.913,4.777,4.865,4.468,4.826,4.867,4.916,4.583,4.876,4.523,4.837,5.414,4.709,4.728,5.686,6.383,5.87,4.729,6.531
GO000012-F1,AHR 5然 Bap,AHR 5然 Bap-Arena 5-0752020-1134,3.217,3.405,3.42,3.306,3.241,3.799,3.202,3.854,3.14,3.394,3.332,3.44,3.302,3.303,3.46,3.129,3.023,2.892,3.545,3.31,3.311,3.617,3.557,3.685,3.249,3.904,4.004,4.357,3.818
GO000012-F1,AHR 5然 Bap,AHR 5然 Bap-Arena 6-0752020-1227,4.816,4.694,3.83,5.161,4.892,4.478,5.022,5.022,4.738,3.971,4.43,4.992,5.783,5.634,4.839,5.022,5.147,5.493,5.149,4.809,5.245,4.035,5.467,4.756,4.487,5.34,4.661,5.12,5.424
GO000012-F1,AHR 5然 Bap,AHR 5然 Bap-Arena 7-0752020-124,4.71,4.525,4.307,4.746,5.184,4.865,5.097,4.889,4.609,5.103,4.749,5.249,5.842,5.684,4.488,4.516,5.788,5.093,5.319,5.818,5.225,4.56,6.355,5.13,5.605,5.18,5.029,4.921,4.422
GO000012-F1,AHR DMSO,AHR DMSO-Arena 1-0752020-528,3.474,3.861,3.991,3.424,4.353,3.927,3.575,3.894,3.773,6.591,4.64,4.97,5.113,4.595,3.819,3.536,3.936,4.445,4.13,3.809,3.619,4.07,4.154,3.889,4.059,4.636,4.275,3.752,NA
GO000012-F1,AHR DMSO,AHR DMSO-Arena 1-0752020-1227,5.142,4.894,5.225,4.674,5.399,5.286,4.932,4.66,5.337,5.208,4.947,4.865,5.312,5.324,4.879,5.263,5.506,5.401,5.372,5.097,4.986,5.639,5.094,4.14,5.67,4.869,5.37,5.044,5.891
GO000012-F1,AHR DMSO,AHR DMSO-Arena 2-0752020-528,4.081,3.714,3.508,3.414,3.353,3.609,3.648,3.381,3.907,3.415,3.501,3.523,3.601,3.955,3.783,4.425,3.385,3.977,4.255,5.159,5.599,5.7,5.775,4.56,4.59,5.137,4.811,4.44,NA
GO000012-F1,AHR DMSO,AHR DMSO-Arena 3-07062020-540,3.793,4.052,3.798,3.782,3.574,3.712,3.78,3.831,3.644,3.882,4.077,3.481,3.497,3.478,3.838,3.584,3.26,4.119,4.627,3.945,4.471,4.246,4.117,4.104,4.063,4.381,4.019,3.728,4.271
GO000012-F1,AHR DMSO,AHR DMSO-Arena 3-0752020-1134,4.531,3.653,4.15,4.253,4.319,4.142,4.12,2.987,3.667,4.2,4.546,3.59,4.142,4.117,4.303,3.856,4.011,4.644,4.459,4.024,4.241,4.539,4.261,4.332,4.524,4.02,4.123,4.337,4.438
GO000012-F1,AHR DMSO,AHR DMSO-Arena 4-07062020-540,3.044,2.962,3.395,3.354,3.23,3.591,3.269,3.21,3.227,3.424,2.821,3.607,3.143,2.974,3.494,3.452,3.674,3.422,3.486,3.514,3.518,3.373,3.509,3.312,3.592,3.905,3.176,3.064,3.363
GO000012-F1,AHR DMSO,AHR DMSO-Arena 5-0752020-1227,4.376,4.456,4.481,4.663,4.263,4.54,4.389,4.424,3.958,4.324,4.741,4.474,4.353,4.849,4.363,4.611,4.64,4.645,4.037,4.914,4.544,4.695,4.632,3.894,3.918,4.09,3.717,4.717,4.477
GO000012-F1,AHR DMSO,AHR DMSO-Arena 8-0752020-1134,3.992,4.254,4.68,4.563,4.476,4.477,3.879,4.093,3.625,3.702,4.283,3.831,4.645,4.311,4.391,4.124,4.551,4.099,4.115,4.119,4.57,4.934,4.384,4.745,3.904,4.826,4.748,4.051,4.699
GO000012-F1,COMO 5然 Bap,COMO 5然 Bap-Arena 1-0752020-528,3.474,3.861,3.991,3.424,4.353,3.927,3.575,3.894,3.773,6.591,4.64,4.97,5.113,4.595,3.819,3.536,3.936,4.445,4.13,3.809,3.619,4.07,4.154,3.889,4.059,4.636,4.275,3.752,NA
GO000012-F1,COMO 5然 Bap,COMO 5然 Bap-Arena 1-0752020-124,3.602,3.612,3.285,3.883,3.627,4.04,3.645,3.443,3.078,3.717,3.565,4.515,4.344,3.801,3.191,4.671,4.993,4.65,4.123,4.659,4.484,4.36,4.326,4.622,4.662,4.957,4.433,4.281,4.951
GO000012-F1,COMO 5然 Bap,COMO 5然 Bap-Arena 2-07062020-540,2.801,3.522,2.61,3.214,3.245,3.718,2.819,2.562,3.248,3.641,4.306,4.033,2.833,4.106,2.563,4.286,3.782,3.678,2.834,3.309,3.335,3.891,3.561,3.976,4.261,3.74,3.972,3.471,2.758
