generation,treatment,ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
GO000012-F1,AHR 5然 Bap,AHR 5然 Bap-Arena 1-07062020-540,5.216,5.304,6.048,5.794,4.227,4.911,4.416,4.755,4.19,4.443,4.159,4.842,4,5.739,4.165,5.792,5.319,3.257,2.894,3.178,2.337,2.999,2.621,4.155,2.598,2.349,2.145,3.894,2.956
GO000012-F1,AHR 5然 Bap,AHR 5然 Bap-Arena 2-0752020-528,5.298,5.035,4.969,4.669,4.911,4.877,5.976,4.724,5.858,6.507,5.679,5.58,5.738,5.316,5.106,5.86,4.646,4.911,4.191,4.029,4.953,3.916,3.786,4.416,4.616,3.92,4.108,4.007,NA
GO000012-F1,AHR 5然 Bap,AHR 5然 Bap-Arena 2-0752020-1227,4.061,3.94,4.107,4.411,3.81,3.915,3.561,3.842,4.07,3.275,3.456,3.669,3.73,3.173,3.519,3.554,3.373,3.548,3.498,3.299,3.236,3.303,2.864,3.396,4.37,5.009,3.846,3.666,3.219
GO000012-F1,AHR 5然 Bap,AHR 5然 Bap-Arena 3-0752020-528,4.566,4.276,4.952,4.913,4.442,4.931,5.201,4.45,4.588,4.733,4.801,4.835,4.978,5.06,4.747,4.682,4.565,5.167,4.668,4.223,4.541,4.644,4.419,4.459,5.344,4.608,4.782,4.596,NA
GO000012-F1,AHR 5然 Bap,AHR 5然 Bap-Arena 3-0752020-124,3.725,3.141,3.33,3.838,3.573,3.507,3.543,3.287,3.199,2.97,3.234,3.28,3.634,3.554,3.221,3.803,2.963,3.337,5.651,5.083,2.857,2.959,3.313,4.585,4.927,3.528,2.951,2.781,2.805
GO000012-F1,AHR 5然 Bap,AHR 5然 Bap-Arena 4-07062020-540,4.711,4.762,4.537,5.683,5.006,4.855,4.637,3.872,4.381,4.305,4.465,5.058,4.579,4.041,4.246,5.324,4.642,4.576,4.582,4.738,4.608,3.975,4.389,3.713,4.177,4.11,4.443,3.748,4.619
GO000012-F1,AHR 5然 Bap,AHR 5然 Bap-Arena 4-0752020-1134,NA,4.815,5.309,4.377,4.589,5.071,5.22,4.94,5.003,4.317,4.021,4.272,4.423,4.107,4.418,4.143,4.142,3.949,3.778,4.547,4.346,3.841,4.223,4.95,4.562,5.139,4.372,2.949,3.262
GO000012-F1,AHR 5然 Bap,AHR 5然 Bap-Arena 5-0752020-1134,NA,4.237,4.567,4.838,4.962,4.448,4.661,4.535,4.932,4.924,4.666,4.449,4.4,4.493,4.933,4.285,4.177,4.055,4.622,4.451,4.529,4.215,4.388,4.154,4.081,4.256,4.35,4.072,3.942
GO000012-F1,AHR 5然 Bap,AHR 5然 Bap-Arena 6-0752020-1227,4.656,5.098,4.834,4.85,4.867,4.59,4.699,6.176,4.825,4.96,5.747,4.22,5.41,5.221,6.738,6.009,4.847,5.033,4.376,4.739,3.825,3.878,4.414,4.101,4.332,5.741,7.192,6.612,6.311
GO000012-F1,AHR 5然 Bap,AHR 5然 Bap-Arena 7-0752020-124,3.738,4.17,4.389,3.885,4.247,4.249,3.634,3.961,4.042,3.55,3.615,3.804,3.585,3.436,3.787,3.834,3.746,3.617,3.72,3.636,3.71,3.193,3.549,3.534,3.401,3.234,3.971,3.509,3.648
