generation,gender,treatment,ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
GO000012-F2,F,AHR 5然 Bap,AHR 5然 Bap-F-Arena 1-21,501.631,390.106,395.356,371.871,363.839,385.673,355.606,337.361,361.864,365.228,390.162,334.159,407.398,419.24,378.864,341.91,332.733,363.855,446.181,420.483,395.014,350.274,372.454,545.461,513.446,439.485,413.99,420.047,434.549,390.683
GO000012-F2,F,AHR 5然 Bap,AHR 5然 Bap-F-Arena 1-37,266.631,364.011,404.52,392.077,382.34,207.149,246.326,174.692,154.055,161.952,137.537,127.562,193.879,219.854,148.71,116.158,168.007,223.293,186.405,176.919,298.317,300.053,168.887,131.73,126.035,112.524,102.139,115.584,83.642,62.972
GO000012-F2,F,AHR 5然 Bap,AHR 5然 Bap-F-Arena 1-5,340.842,322.734,304.493,304.648,358.304,370.52,329.556,261.73,180.466,8.893,0,0,0,0,0,0,0,0,0,0,0,0,0,30.426,289.228,162.801,2.082,3.363,4.058,4.318
GO000012-F2,F,AHR 5然 Bap,AHR 5然 Bap-F-Arena 5-14,0,0,0,0,0,0,0,0,0,0,85.373,292.603,285.923,261.271,311.485,105.685,4.402,4.925,2.86,0.07,145.345,298.717,275.982,65.222,74.824,0,1.005,0,0,138.296
GO000012-F2,F,AHR 5然 Bap,AHR 5然 Bap-F-Arena 5-30,441.495,413.961,349.174,457.548,374.002,386.8,363.949,404.206,343.351,450.059,524.891,483.673,419.094,320.385,357.009,481.258,453.145,495.696,455.765,348.71,357.21,333.75,281.005,378.974,418.589,317.594,416.111,468.94,402.191,500.128
GO000012-F2,F,AHR 5然 Bap,AHR 5然 Bap-F-Arena 5-46,153.67,182.331,194.69,138.188,143.012,156.384,185.738,143.861,158.731,246.682,302.024,192.143,106.278,94.674,170.001,113.884,141.367,107.947,11.882,14.041,0,0,0,0,0,0,0,0,0,0
GO000012-F2,F,AHR 5然 Bap,AHR 5然 Bap-F-Arena 13-1,466.131,407.986,368.466,338.618,330.32,319.167,426.026,384.746,408.674,425.911,293.358,242.727,298.915,280.849,300.195,308.86,294.271,305.541,306.355,303.928,313.355,323.107,368.398,279.796,332.784,329.045,338.515,327.614,346.917,320.727
GO000012-F2,F,AHR 5然 Bap,AHR 5然 Bap-F-Arena 13-17,300.405,352.392,270.61,265.493,310.465,293.21,317.253,75.065,5.794,5.573,0,0,0,0,0,0,0,0,67.882,205.977,212.927,196.346,228.636,204.166,211.941,200.814,180.487,150.342,58.595,218.048
GO000012-F2,F,AHR 5然 Bap,AHR 5然 Bap-F-Arena 13-33,389.793,326.767,292.18,251.918,193.609,349.525,403.964,272.333,306.376,386.033,377.94,393.956,409.545,337.332,454.922,422.889,355.113,325.847,362.376,354.013,361.483,352.43,359.725,339.969,285.46,349.02,314.599,311.918,323.18,318.5
GO000012-F2,F,AHR 5然 Bap,AHR 5然 Bap-F-Arena 14-18,384.897,367.561,354.309,329.404,360.146,337.497,305.071,282.801,310.441,273.37,304.325,256.478,280.067,252.726,228.074,294.727,353.757,336.389,250.325,228.429,267.521,292.38,325.704,206.011,207.614,204.973,217.377,233.797,218.802,290.486
GO000012-F2,F,AHR 5然 Bap,AHR 5然 Bap-F-Arena 14-2,450.124,452.87,380.211,401.489,374.222,322.599,375.61,366.335,459.876,334.728,335.155,322.89,331.565,271.693,372.552,316.834,309.463,231.443,329.856,418.483,291.596,255.137,285.137,288.84,259.39,315.83,304.716,260.268,259.816,280.354
GO000012-F2,F,AHR 5然 Bap,AHR 5然 Bap-F-Arena 14-34,492.604,435.684,349.912,394.44,308.912,266.361,284.119,213.134,236.255,232.856,202.067,219.871,217.509,207.734,214.407,246.118,234.22,275.454,264.404,247.877,273.573,253.647,282.656,184.157,167.706,283.371,190.431,216.057,244.148,215.683
GO000012-F2,F,AHR 5然 Bap,AHR 5然 Bap-F-Arena 2-22,463.793,435.856,461.986,398.325,447.693,412.389,431.858,364.941,455.15,520.542,587.791,588.236,539.951,513.952,589.675,531.026,501.062,504.365,577.399,598.339,537.484,538.588,474.548,453.918,439.129,432.383,439.678,471.66,455.021,421.08
GO000012-F2,F,AHR 5然 Bap,AHR 5然 Bap-F-Arena 2-38,250.294,264.892,263.534,240.24,226.508,238.727,312.8,428.378,378.184,366.487,351.755,354.963,355.313,383.719,460.238,426.913,351.885,361.308,403.881,365.191,369.187,604.305,742.32,613.428,524.702,532.95,648.31,576.237,554.8,566.429
GO000012-F2,F,AHR 5然 Bap,AHR 5然 Bap-F-Arena 2-6,507.559,440.864,455.197,436.51,376.707,439.238,493.32,487.797,467.552,429.396,462.889,432.186,458.03,410.957,452.168,464.098,435.382,432.836,414.375,419.428,416.03,424.632,436.796,435.622,441.479,452.219,397.86,345.309,290.989,325.735
GO000012-F2,F,AHR 5然 Bap,AHR 5然 Bap-F-Arena 5-25,292.203,332.306,363.705,302.31,245.157,213.889,194.533,259.749,270.974,272.622,257.289,253.899,232.09,226.208,254.98,277.463,224.63,234.336,229.398,330.474,347.897,248.832,246.302,246.189,248.781,217.094,219.646,317.076,196.207,187.988
GO000012-F2,F,AHR 5然 Bap,AHR 5然 Bap-F-Arena 5-41,364.108,397.144,330.088,353.509,305.84,291.441,229.749,245.742,273.932,316.11,234.187,235.047,282.136,259.032,235.631,260.551,228.704,253.973,291.682,305.462,293.273,251.152,282.576,301.276,220.522,287.687,371.88,297.668,259.889,308.468
GO000012-F2,F,AHR 5然 Bap,AHR 5然 Bap-F-Arena 5-9,318.519,299.493,358.014,360.825,319.131,335.366,296.572,271.694,234.17,203.041,229.748,236.174,225.711,257.325,200.756,220.263,232.53,243.049,284.262,250.51,194.387,206.493,203.902,239.767,273.671,260.907,191.106,242.231,262.445,216.826
GO000012-F2,F,AHR 5然 Bap,AHR 5然 Bap-F-Arena 6-5,267.467,274.735,284.333,350.074,354.291,371.232,203.291,218.09,182.272,255.821,263.43,252.91,193.347,169.407,183.382,254.133,206.28,130.283,198.696,272.72,531.332,411.328,365.957,307.434,325.29,345.891,356.007,318.46,206.507,219.981
GO000012-F2,F,AHR 5然 Bap,AHR 5然 Bap-F-Arena 6-26,522.703,567.032,453.87,479.272,564.319,519.952,498.23,511.477,505.82,515.779,514.07,481.367,415.693,503.593,376.494,422.075,367.533,395.587,374.425,404.953,398.005,362.255,575.633,593.949,549.89,555.905,622.781,604.089,543.43,560.678
GO000012-F2,F,AHR 5然 Bap,AHR 5然 Bap-F-Arena 6-42,530.047,386.669,443.933,433.705,346.529,428.746,501.737,510.928,453.717,361.336,418.353,474.544,305.527,375.921,341.8,326.704,368.638,338.217,353.038,360.667,404.456,402.311,468.471,497.081,359.848,320.415,308.03,269.964,388.759,470.681
GO000012-F2,F,AHR 5然 Bap,AHR 5然 Bap-F-Arena 9-13,294.584,365.695,437.509,437.075,463.186,423.668,447.22,433.765,439.737,385.874,254.251,256.135,298.824,318.863,347.675,343.496,407.36,352.284,215.156,215.881,208.163,270.286,241.936,267.476,261.369,252.148,221.215,210.976,239,223.904
GO000012-F2,F,AHR 5然 Bap,AHR 5然 Bap-F-Arena 9-29,387.902,471.635,521.142,447.52,507.606,539.67,487.323,434.934,410.21,481.579,518.138,494.614,512.813,494.7,534.043,523.218,562.158,407.042,364.121,427.071,526.825,403.761,385.737,375.631,451.934,517.895,493.331,363.111,459.741,457.596
GO000012-F2,F,AHR 5然 Bap,AHR 5然 Bap-F-Arena 9-45,299.362,278.424,243.462,256.994,248.803,272.915,240.468,271.78,263.631,248.114,244.853,253.19,254.844,253.071,234.603,219.853,230.565,295.195,325.205,415.459,366.384,341.245,219.344,203.34,162.548,171.025,115.216,142.371,387.01,166.971
GO000012-F2,F,AHR 5然 Bap,AHR 5然 Bap-F-Arena 9-49,335.797,351.886,329.726,341.153,280.002,262.523,249.049,271.944,360.915,328.972,317.164,298.238,301.151,296.744,238.971,287.347,311.951,287.838,277.396,258.174,230.609,335.304,378.381,311.665,301.95,327.424,330.936,321.576,274.539,292.106
GO000012-F2,M,AHR 5然 Bap,AHR 5然 Bap-M-Arena 11-15,479.679,491.172,464.841,416.657,449.008,528.242,587.623,570.86,411.027,467.106,429.092,459.623,515.578,412.194,484.891,419.988,417.899,601.011,595.387,625.693,575.986,604.375,565.73,577.103,590.817,602.892,584.043,598.641,583.647,594.501
GO000012-F2,M,AHR 5然 Bap,AHR 5然 Bap-M-Arena 11-31,581.31,659.52,602.938,593.798,653.958,645.275,629.152,616.555,655.527,657.488,643.458,657.342,438.156,390.427,493.836,434.83,582.836,567.111,439.289,411.904,416.742,347.799,418.23,386.547,389.39,423.065,374.932,374.273,387.075,415.854
GO000012-F2,M,AHR 5然 Bap,AHR 5然 Bap-M-Arena 11-47,463.544,529.749,359.966,384.008,362.348,368.324,408.426,393.311,370.41,364.348,361.423,401.061,431.512,465.167,479.068,412.083,347.041,340.331,325.96,337.259,344.444,363.419,297.86,363.275,318.933,332.867,336.322,325.966,373.736,328.798
GO000012-F2,M,AHR 5然 Bap,AHR 5然 Bap-M-Arena 11-50,480.702,492.081,555.088,463.482,460.014,406.017,435.826,431.694,434.39,441.218,389.28,330.148,471.266,492.187,494.694,519.638,452.666,483.709,352.001,348.792,292.829,299.26,248.13,248.167,294.57,285.397,284.821,400.273,452.159,489.124
