generation,treatment,ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
GO000012-F2,AHR 5然 Bap,AHR 5然 Bap-Arena 1-07312020-1135,1.753,2.071,2.232,1.873,2.286,2.338,2.256,2.082,2.296,2.306,2.666,2.331,2.136,2.389,2.422,2.484,2.64,2.768,2.652,2.691,2.798,3.055,2.976,2.813,2.624,2.376,2.282,2.389,2.644
GO000012-F2,AHR 5然 Bap,AHR 5然 Bap-Arena 1-08032020-1125,2.357,2.433,2.3,2.485,2.432,2.621,2.521,2.499,2.443,2.354,2.192,2.294,2.202,2.135,2.544,2.663,2.682,2.573,2.546,2.444,2.983,2.902,2.694,2.701,2.309,2.453,2.363,2.593,2.743
GO000012-F2,AHR 5然 Bap,AHR 5然 Bap-Arena 2-07312020-1225,2.033,1.938,2.185,2.204,2.141,2.38,2.344,2.053,2.144,2.04,1.944,2.019,2.167,1.922,2.033,2.452,2.772,2.604,2.548,2.749,2.386,2.118,2.366,2.574,2.482,2.521,2.553,2.599,2.821
GO000012-F2,AHR 5然 Bap,AHR 5然 Bap-Arena 2-08032020-1125,2.539,2.62,2.603,2.702,2.679,2.786,2.779,2.822,3.133,2.602,2.508,2.939,2.877,2.918,2.778,2.845,2.927,2.672,2.936,2.651,2.523,2.606,3.013,2.986,3.063,2.909,3.022,3.125,2.849
GO000012-F2,AHR 5然 Bap,AHR 5然 Bap-Arena 2-08032020-1238,2.455,2.389,2.432,2.441,2.261,2.465,2.505,2.343,2.323,2.415,2.317,2.517,2.269,2.366,2.263,2.497,2.409,2.54,2.479,2.915,2.828,2.659,2.99,2.618,2.676,2.389,2.705,2.436,2.518
GO000012-F2,AHR 5然 Bap,AHR 5然 Bap-Arena 3-07312020-131,2.031,2.309,2.276,2.18,2.371,2.142,2.111,2.275,2.256,1.859,2.294,2.454,2.435,2.135,2.364,2.295,2.344,2.422,2.138,1.822,2.201,2.357,2.274,2.385,2.333,2.141,2.353,2.482,2.309
GO000012-F2,AHR 5然 Bap,AHR 5然 Bap-Arena 4-07312020-531,2.478,2.304,2.478,2.383,2.421,2.77,2.755,3.029,2.695,2.709,2.926,2.496,2.557,2.331,2.739,2.472,2.58,2.886,2.542,2.524,2.333,2.241,2.318,2.68,2.719,2.482,2.342,2.416,2.36
GO000012-F2,AHR 5然 Bap,AHR 5然 Bap-Arena 4-07312020-307,2.064,2.312,2.254,2.349,2.504,2.296,2.562,2.128,2.272,2.328,2.423,2.29,2.356,2.534,2.297,2.27,2.546,2.48,2.358,2.236,2.381,2.846,2.389,2.644,2.696,2.986,2.718,2.852,2.683
GO000012-F2,AHR 5然 Bap,AHR 5然 Bap-Arena 5-07312020-1135,2.554,2.174,2.097,2.283,2.26,2.58,2.007,2.603,2.493,2.388,2.28,2.381,2.754,2.729,3.178,2.718,3.027,2.978,3.227,2.815,2.993,3.165,2.984,3.039,2.652,2.677,2.787,2.663,2.752
GO000012-F2,AHR 5然 Bap,AHR 5然 Bap-Arena 6-07312020-1225,2.249,2.28,2.33,2.657,2.803,2.267,2.696,2.871,2.424,2.686,2.445,2.606,2.398,2.613,2.757,2.555,2.618,2.564,3.064,2.993,2.634,2.658,3.105,2.733,2.365,2.502,2.536,2.718,2.817
