"","generation","Sex","Treatments","ID","row_mean","Cohort","time","distance"
"1","F0",NA,"AHR2Mo+BaP","AHR_5uM_BaP-NA-Arena_10-1",195.5088,"AHR2Mo+BaP_F0",1,211.074
"2","F0",NA,"AHR2Mo+BaP","AHR_5uM_BaP-NA-Arena_11-1",210.674,"AHR2Mo+BaP_F0",1,231.517
"3","F0",NA,"AHR2Mo+BaP","AHR_5uM_BaP-NA-Arena_12-1",253.55325,"AHR2Mo+BaP_F0",1,179.948
"4","F0",NA,"AHR2Mo+BaP","AHR_5uM_BaP-NA-Arena_13-1",279.519,"AHR2Mo+BaP_F0",1,455.459
"5","F0",NA,"AHR2Mo+BaP","AHR_5uM_BaP-NA-Arena_14-1",157.4151,"AHR2Mo+BaP_F0",1,175.961
"6","F0",NA,"AHR2Mo+BaP","AHR_5uM_BaP-NA-Arena_15-1",149.93625,"AHR2Mo+BaP_F0",1,160.046
"7","F0",NA,"AHR2Mo+BaP","AHR_5uM_BaP-NA-Arena_16-1",204.43195,"AHR2Mo+BaP_F0",1,253.869
"8","F0",NA,"AHR2Mo+BaP","AHR_5uM_BaP-NA-Arena_5-1",163.76665,"AHR2Mo+BaP_F0",1,188.709
"9","F0",NA,"AHR2Mo+BaP","AHR_5uM_BaP-NA-Arena_5-2",279.81805,"AHR2Mo+BaP_F0",1,288.519
"10","F0",NA,"AHR2Mo+BaP","AHR_5uM_BaP-NA-Arena_6-1",216.75075,"AHR2Mo+BaP_F0",1,235.62
"11","F0",NA,"AHR2Mo+BaP","AHR_5uM_BaP-NA-Arena_6-2",301.6386,"AHR2Mo+BaP_F0",1,336.66
"12","F0",NA,"AHR2Mo+BaP","AHR_5uM_BaP-NA-Arena_7-1",241.9657,"AHR2Mo+BaP_F0",1,252.121
"13","F0",NA,"AHR2Mo+BaP","AHR_5uM_BaP-NA-Arena_7-2",244.69595,"AHR2Mo+BaP_F0",1,156.036
"14","F0",NA,"AHR2Mo+BaP","AHR_5uM_BaP-NA-Arena_8-1",198.85865,"AHR2Mo+BaP_F0",1,173.494
"15","F0",NA,"AHR2Mo+BaP","AHR_5uM_BaP-NA-Arena_8-2",257.97425,"AHR2Mo+BaP_F0",1,227.627
"16","F0",NA,"AHR2Mo+BaP","AHR_5uM_BaP-NA-Arena_9-1",301.22705,"AHR2Mo+BaP_F0",1,399.244
"17","F0",NA,"AHR2Mo+BaP","AHR_5uM_BaP-NA-Arena_9-2",328.82185,"AHR2Mo+BaP_F0",1,406.916
"18","F0",NA,"AHR2Mo+DMSO","AHR_DMSO-NA-Arena_10-1",147.1656,"AHR2Mo+DMSO_F0",1,134.648
"19","F0",NA,"AHR2Mo+DMSO","AHR_DMSO-NA-Arena_10-2",199.05715,"AHR2Mo+DMSO_F0",1,177.407
"20","F0",NA,"AHR2Mo+DMSO","AHR_DMSO-NA-Arena_11-1",204.73785,"AHR2Mo+DMSO_F0",1,237.421
"21","F0",NA,"AHR2Mo+DMSO","AHR_DMSO-NA-Arena_11-2",235.09955,"AHR2Mo+DMSO_F0",1,268.447
"22","F0",NA,"AHR2Mo+DMSO","AHR_DMSO-NA-Arena_12-1",179.9902,"AHR2Mo+DMSO_F0",1,155.365
"23","F0",NA,"AHR2Mo+DMSO","AHR_DMSO-NA-Arena_12-2",246.33415,"AHR2Mo+DMSO_F0",1,227.049
"24","F0",NA,"AHR2Mo+DMSO","AHR_DMSO-NA-Arena_13-1",180.6402,"AHR2Mo+DMSO_F0",1,190.011
"25","F0",NA,"AHR2Mo+DMSO","AHR_DMSO-NA-Arena_13-2",180.85605,"AHR2Mo+DMSO_F0",1,177.8
"26","F0",NA,"AHR2Mo+DMSO","AHR_DMSO-NA-Arena_14-1",126.90725,"AHR2Mo+DMSO_F0",1,163.911
"27","F0",NA,"AHR2Mo+DMSO","AHR_DMSO-NA-Arena_14-2",177.84325,"AHR2Mo+DMSO_F0",1,257.277
"28","F0",NA,"AHR2Mo+DMSO","AHR_DMSO-NA-Arena_15-1",211.75,"AHR2Mo+DMSO_F0",1,194.651
"29","F0",NA,"AHR2Mo+DMSO","AHR_DMSO-NA-Arena_15-2",208.3864,"AHR2Mo+DMSO_F0",1,240.787
"30","F0",NA,"AHR2Mo+DMSO","AHR_DMSO-NA-Arena_16-1",302.9069,"AHR2Mo+DMSO_F0",1,283.823
"31","F0",NA,"AHR2Mo+DMSO","AHR_DMSO-NA-Arena_16-2",227.77675,"AHR2Mo+DMSO_F0",1,188.183
"32","F0",NA,"AHR2Mo+DMSO","AHR_DMSO-NA-Arena_5-1",130.25295,"AHR2Mo+DMSO_F0",1,120.263
"33","F0",NA,"AHR2Mo+DMSO","AHR_DMSO-NA-Arena_5-2",151.2624,"AHR2Mo+DMSO_F0",1,145.932
"34","F0",NA,"AHR2Mo+DMSO","AHR_DMSO-NA-Arena_6-1",202.7961,"AHR2Mo+DMSO_F0",1,159.496
"35","F0",NA,"AHR2Mo+DMSO","AHR_DMSO-NA-Arena_6-2",227.324,"AHR2Mo+DMSO_F0",1,195.045
"36","F0",NA,"AHR2Mo+DMSO","AHR_DMSO-NA-Arena_7-1",223.789,"AHR2Mo+DMSO_F0",1,186.454
"37","F0",NA,"AHR2Mo+DMSO","AHR_DMSO-NA-Arena_7-2",226.27375,"AHR2Mo+DMSO_F0",1,250.708
"38","F0",NA,"AHR2Mo+DMSO","AHR_DMSO-NA-Arena_8-1",150.11315,"AHR2Mo+DMSO_F0",1,137.176
"39","F0",NA,"AHR2Mo+DMSO","AHR_DMSO-NA-Arena_8-2",323.6054,"AHR2Mo+DMSO_F0",1,276.663
"40","F0",NA,"AHR2Mo+DMSO","AHR_DMSO-NA-Arena_9-1",158.1149,"AHR2Mo+DMSO_F0",1,136.289
"41","F0",NA,"AHR2Mo+DMSO","AHR_DMSO-NA-Arena_9-2",289.4825,"AHR2Mo+DMSO_F0",1,320.157
"42","F0",NA,"CoMo+BaP","COMO_5uM_BaP-NA-Arena_10-1",186.9339,"CoMo+BaP_F0",1,204.553
"43","F0",NA,"CoMo+BaP","COMO_5uM_BaP-NA-Arena_10-2",225.7094,"CoMo+BaP_F0",1,276.475
"44","F0",NA,"CoMo+BaP","COMO_5uM_BaP-NA-Arena_11-1",278.7549,"CoMo+BaP_F0",1,289.698
"45","F0",NA,"CoMo+BaP","COMO_5uM_BaP-NA-Arena_11-2",275.66665,"CoMo+BaP_F0",1,240.879
"46","F0",NA,"CoMo+BaP","COMO_5uM_BaP-NA-Arena_12-1",221.96465,"CoMo+BaP_F0",1,227.903
"47","F0",NA,"CoMo+BaP","COMO_5uM_BaP-NA-Arena_12-2",240.4375,"CoMo+BaP_F0",1,237.115
"48","F0",NA,"CoMo+BaP","COMO_5uM_BaP-NA-Arena_13-1",156.0913,"CoMo+BaP_F0",1,154.287
"49","F0",NA,"CoMo+BaP","COMO_5uM_BaP-NA-Arena_13-2",270.44495,"CoMo+BaP_F0",1,248.203
"50","F0",NA,"CoMo+BaP","COMO_5uM_BaP-NA-Arena_14-1",323.8425,"CoMo+BaP_F0",1,349.738
"51","F0",NA,"CoMo+BaP","COMO_5uM_BaP-NA-Arena_14-2",282.5156,"CoMo+BaP_F0",1,306.197
"52","F0",NA,"CoMo+BaP","COMO_5uM_BaP-NA-Arena_15-1",296.5967,"CoMo+BaP_F0",1,322.23
"53","F0",NA,"CoMo+BaP","COMO_5uM_BaP-NA-Arena_15-2",225.0162,"CoMo+BaP_F0",1,241.29
"54","F0",NA,"CoMo+BaP","COMO_5uM_BaP-NA-Arena_16-1",151.4778,"CoMo+BaP_F0",1,172.056
"55","F0",NA,"CoMo+BaP","COMO_5uM_BaP-NA-Arena_16-2",182.34235,"CoMo+BaP_F0",1,202.52
"56","F0",NA,"CoMo+BaP","COMO_5uM_BaP-NA-Arena_5-1",207.90455,"CoMo+BaP_F0",1,245.786
"57","F0",NA,"CoMo+BaP","COMO_5uM_BaP-NA-Arena_5-2",210.2958,"CoMo+BaP_F0",1,205.48
"58","F0",NA,"CoMo+BaP","COMO_5uM_BaP-NA-Arena_6-1",141.1111,"CoMo+BaP_F0",1,141.037
"59","F0",NA,"CoMo+BaP","COMO_5uM_BaP-NA-Arena_6-2",252.40575,"CoMo+BaP_F0",1,305.998
"60","F0",NA,"CoMo+BaP","COMO_5uM_BaP-NA-Arena_7-1",225.2284,"CoMo+BaP_F0",1,219.266
"61","F0",NA,"CoMo+BaP","COMO_5uM_BaP-NA-Arena_7-2",187.987,"CoMo+BaP_F0",1,194.576
"62","F0",NA,"CoMo+BaP","COMO_5uM_BaP-NA-Arena_8-1",276.67305,"CoMo+BaP_F0",1,305.566
"63","F0",NA,"CoMo+BaP","COMO_5uM_BaP-NA-Arena_8-2",265.6439,"CoMo+BaP_F0",1,254.604
"64","F0",NA,"CoMo+BaP","COMO_5uM_BaP-NA-Arena_9-1",288.0154,"CoMo+BaP_F0",1,320.649
"65","F0",NA,"CoMo+BaP","COMO_5uM_BaP-NA-Arena_9-2",198.043,"CoMo+BaP_F0",1,246.695
"66","F0",NA,"CoMo+DMSO","COMO_DMSO-NA-Arena_10-1",390.63755,"CoMo+DMSO_F0",1,285.404
"67","F0",NA,"CoMo+DMSO","COMO_DMSO-NA-Arena_11-1",250.87085,"CoMo+DMSO_F0",1,433.063
"68","F0",NA,"CoMo+DMSO","COMO_DMSO-NA-Arena_12-1",468.47765,"CoMo+DMSO_F0",1,408.393
"69","F0",NA,"CoMo+DMSO","COMO_DMSO-NA-Arena_13-1",28.1133,"CoMo+DMSO_F0",1,0
"70","F0",NA,"CoMo+DMSO","COMO_DMSO-NA-Arena_14-1",172.5891,"CoMo+DMSO_F0",1,191.744
"71","F0",NA,"CoMo+DMSO","COMO_DMSO-NA-Arena_15-1",212.7276,"CoMo+DMSO_F0",1,221.179
"72","F0",NA,"CoMo+DMSO","COMO_DMSO-NA-Arena_16-1",193.62875,"CoMo+DMSO_F0",1,205.968
"73","F0",NA,"CoMo+DMSO","COMO_DMSO-NA-Arena_5-1",237.99235,"CoMo+DMSO_F0",1,263.304
"74","F0",NA,"CoMo+DMSO","COMO_DMSO-NA-Arena_6-1",274.76455,"CoMo+DMSO_F0",1,244.845
