Generation,Treatment,Metric,Estimate,Pval,Significance
F0,CoMo _BaP,BC_16S,NA,NA, ns
F0,CoMo _BaP,BC_MG,0.095,0.001,*
F0,AHRMo_DMSO,BC_16S,1.378,0.001,*
F0,AHRMo_DMSO,BC_MG,0.14303,0.001,*
F0,AHRMo_BaP,BC_16S,NA,NA, ns
F0,AHRMo_BaP,BC_MG,0.1068,0.001,*
F1,CoMo _BaP,BC_16S,1.0658,0.001,*
F1,CoMo _BaP,BC_MG,0.07694,0.002,*
F1,AHRMo_DMSO,BC_16S,NA,NA, ns
F1,AHRMo_DMSO,BC_MG,0.37431,0.001,*
F1,AHRMo_BaP,BC_16S,NA,NA, ns
F1,AHRMo_BaP,BC_MG,NA,NA, ns
F2,CoMo _BaP,BC_16S,0.5963,0.005,*
F2,CoMo _BaP,BC_MG,0.05017,0.002,*
F2,AHRMo_DMSO,BC_16S,0.5847,0.015,*
F2,AHRMo_DMSO,BC_MG,0.32008,0.001,*
F2,AHRMo_BaP,BC_16S,1.3338,0.001,*
F2,AHRMo_BaP,BC_MG,0.03439,0.004,*
