"SampleID"	"SampleIDExtra"	"Treatments"	"Generation"	"Sex"	"Morpholino"	"Exposure"	"FishNumber"	"Tissue"	"RunID"	"Length_mm"	"Weight_g"
"1"	"BaP_0137"	"BaP_0137"	"CoMo_DMSO"	"F2"	"F"	"CoMo"	"DMSO"	1	"Fecal"	"s295"	40.5	1.425
"2"	"BaP_0138"	"BaP_0138"	"CoMo_DMSO"	"F2"	"M"	"CoMo"	"DMSO"	2	"Fecal"	"s296"	37.5	0.812
"3"	"BaP_0139"	"BaP_0139"	"CoMo_DMSO"	"F2"	"F"	"CoMo"	"DMSO"	3	"Fecal"	"s297"	34	1.436
"4"	"BaP_0140"	"BaP_0140"	"CoMo_DMSO"	"F2"	"M"	"CoMo"	"DMSO"	4	"Fecal"	"s298"	31	0.595
"5"	"BaP_0025"	"BaP_0025"	"CoMo_DMSO"	"F2"	"F"	"CoMo"	"DMSO"	5	"Fecal"	"s299"	36	1.202
"6"	"BaP_0026"	"BaP_0026"	"CoMo_DMSO"	"F2"	"M"	"CoMo"	"DMSO"	6	"Fecal"	"s300"	36.5	0.89
"7"	"BaP_0027"	"BaP_0027"	"CoMo_DMSO"	"F2"	"F"	"CoMo"	"DMSO"	7	"Fecal"	"s301"	34	0.699
"8"	"BaP_0028"	"BaP_0028"	"CoMo_DMSO"	"F2"	"M"	"CoMo"	"DMSO"	8	"Fecal"	"s302"	34.5	0.785
"9"	"BaP_0029"	"BaP_0029"	"CoMo_DMSO"	"F2"	"F"	"CoMo"	"DMSO"	9	"Fecal"	"s303"	41	1.376
"10"	"BaP_0030"	"BaP_0030"	"CoMo_DMSO"	"F2"	"M"	"CoMo"	"DMSO"	10	"Fecal"	"s304"	33	0.705
"11"	"BaP_0031"	"BaP_0031"	"CoMo_DMSO"	"F2"	"F"	"CoMo"	"DMSO"	11	"Fecal"	"s305"	38.5	1.587
"12"	"BaP_0032"	"BaP_0032"	"CoMo_DMSO"	"F2"	"M"	"CoMo"	"DMSO"	12	"Fecal"	"s306"	37	0.869
"13"	"BaP_0061"	"BaP_0061"	"CoMo_DMSO"	"F2"	"F"	"CoMo"	"DMSO"	13	"Fecal"	"s307"	32	0.806
"14"	"BaP_0062"	"BaP_0062"	"CoMo_DMSO"	"F2"	"M"	"CoMo"	"DMSO"	14	"Fecal"	"s308"	34.5	0.844
"15"	"BaP_0063"	"BaP_0063"	"CoMo_DMSO"	"F2"	"F"	"CoMo"	"DMSO"	15	"Fecal"	"s309"	40	1.685
"16"	"BaP_0064"	"BaP_0064"	"CoMo_DMSO"	"F2"	"M"	"CoMo"	"DMSO"	16	"Fecal"	"s310"	37.5	0.775
"17"	"BaP_0065"	"BaP_0065"	"CoMo_DMSO"	"F2"	"F"	"CoMo"	"DMSO"	17	"Fecal"	"s311"	42	1.675
"18"	"BaP_0066"	"BaP_0066"	"CoMo_DMSO"	"F2"	"M"	"CoMo"	"DMSO"	18	"Fecal"	"s312"	34	0.682
"19"	"BaP_0067"	"BaP_0067"	"CoMo_DMSO"	"F2"	"F"	"CoMo"	"DMSO"	19	"Fecal"	"s313"	37	0.829
"20"	"BaP_0068"	"BaP_0068"	"CoMo_DMSO"	"F2"	"M"	"CoMo"	"DMSO"	20	"Fecal"	"s314"	37.5	0.743
"21"	"BaP_0033"	"BaP_0033"	"CoMo_DMSO"	"F2"	"F"	"CoMo"	"DMSO"	21	"Fecal"	"s315"	37	1.153
"22"	"BaP_0034"	"BaP_0034"	"CoMo_DMSO"	"F2"	"M"	"CoMo"	"DMSO"	22	"Fecal"	"s316"	32	0.699
"23"	"BaP_0035"	"BaP_0035"	"CoMo_DMSO"	"F2"	"F"	"CoMo"	"DMSO"	23	"Fecal"	"s317"	40	0.942
"24"	"BaP_0036"	"BaP_0036"	"CoMo_DMSO"	"F2"	"M"	"CoMo"	"DMSO"	24	"Fecal"	"s318"	38	0.772
"25"	"BaP_0465"	"BaP_0465"	"CoMo_DMSO"	"F2"	"F"	"CoMo"	"DMSO"	25	"Fecal"	"s319"	41	1.563
"26"	"BaP_0466"	"BaP_0466"	"CoMo_DMSO"	"F2"	"M"	"CoMo"	"DMSO"	26	"Fecal"	"s320"	35	0.802
"27"	"BaP_0467"	"BaP_0467"	"CoMo_DMSO"	"F2"	"F"	"CoMo"	"DMSO"	27	"Fecal"	"s321"	38	1.495
"28"	"BaP_0468"	"BaP_0468"	"CoMo_DMSO"	"F2"	"M"	"CoMo"	"DMSO"	29	"Fecal"	"s322"	37	1.213
"29"	"BaP_0069"	"BaP_0069"	"CoMo_DMSO"	"F2"	"F"	"CoMo"	"DMSO"	31	"Fecal"	"s323"	38.5	1.407
