generation,treatment,ID,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28
F0,AHRMo_BaP,Tank01_AHR 5uM BaP_Video Camera 5 5-22-2018 9-56-12 AM 1,0.509,0.837,0.646,0.693,0.741,0.633,0.437,0.734,0.844,0.766,0.831,0.587,0.683,0.695,0.558,0.691,0.625,1.003,0.62,0.399,0.83,0.851,0.689,NA,NA,NA,NA,NA,
F0,AHRMo_BaP,Tank01_AHR 5uM BaP_Video Camera 5 5-25-2018 10-01-29 AM 1,0.549,0.582,0.484,0.487,0.503,0.456,0.652,0.633,0.481,0.578,0.481,0.535,0.499,0.405,0.585,0.749,0.575,0.669,0.606,0.765,0.669,NA,NA,NA,NA,NA,NA,NA,
F0,AHRMo_BaP,Tank02_AHR 5uM BaP_Video Camera 5 5-22-2018 9-56-12 AM 1,0.61,0.736,0.726,0.799,0.702,0.772,0.721,0.666,0.697,0.804,0.731,0.698,0.699,0.719,0.658,0.715,0.737,0.728,0.75,0.752,0.7,0.73,0.766,NA,NA,NA,NA,NA,
F0,AHRMo_BaP,Tank02_AHR 5uM BaP_Video Camera 5 5-25-2018 10-01-29 AM 1,0.611,0.802,0.729,0.604,0.583,0.726,0.846,0.567,0.561,0.608,0.576,0.574,0.531,0.63,0.54,0.684,0.514,0.577,0.636,0.751,0.794,NA,NA,NA,NA,NA,NA,NA,
F0,AHRMo_BaP,Tank03_AHR 5uM BaP_Video Camera 5 5-22-2018 9-56-12 AM 1,0.513,0.542,0.514,0.539,0.351,0.461,0.548,0.456,0.601,0.56,0.62,0.544,0.587,0.6,0.645,0.57,0.633,0.57,0.646,0.603,0.482,0.716,0.479,NA,NA,NA,NA,NA,
F0,AHRMo_BaP,Tank03_AHR 5uM BaP_Video Camera 5 5-25-2018 10-01-29 AM 1,0.35,0.47,0.404,0.411,0.369,0.365,0.433,0.431,0.453,0.445,0.317,0.489,0.449,0.421,0.425,0.454,0.37,0.45,0.534,0.473,0.495,NA,NA,NA,NA,NA,NA,NA,
F0,AHRMo_DMSO,Tank01_AHR DMSO_Video Camera 5 5-24-2018 10-14-25 AM 1,0.554,0.404,0.566,0.479,0.5,0.521,0.597,0.608,0.413,0.598,0.513,0.533,0.518,0.546,0.468,0.556,0.625,0.503,0.451,0.66,NA,NA,NA,NA,NA,NA,NA,NA,
F0,AHRMo_DMSO,Tank02_AHR DMSO_Video Camera 5 5-24-2018 10-14-25 AM 1,0.486,0.646,0.448,0.408,0.381,0.451,0.447,0.375,0.449,0.394,0.387,0.455,0.459,0.41,0.437,0.433,0.421,0.501,0.659,0.78,NA,NA,NA,NA,NA,NA,NA,NA,
F0,AHRMo_DMSO,Tank03_AHR DMSO_Video Camera 5 5-24-2018 10-14-25 AM 1,0.445,0.519,0.417,0.519,0.426,0.482,0.498,0.533,0.468,0.477,0.52,0.445,0.507,0.538,0.413,0.375,0.421,0.439,0.721,0.704,NA,NA,NA,NA,NA,NA,NA,NA,
F0,CoMo _BaP,Tank01_COMO 5uM BaP_Video Camera 5 5-16-2018 10-40-23 AM 1,0.645,0.835,0.778,0.815,0.668,0.631,0.727,0.569,0.76,0.807,0.87,0.739,0.699,0.703,0.778,0.676,0.614,0.682,0.716,0.75,0.789,0.722,0.796,NA,NA,NA,NA,NA,
