generation,treatment,ID,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28
F0,AHRMo_BaP,Tank01_AHR 5uM BaP_Video Camera 5 5-17-2018 11-20-17 AM 1,0.651,0.836,0.727,0.749,0.955,1.017,0.867,0.754,0.692,0.756,0.917,0.948,0.667,0.66,0.72,0.88,0.798,0.832,1.476,1.217,NA,NA,NA,NA,NA,NA,NA,NA,NA
F0,AHRMo_BaP,Tank01_AHR 5uM BaP_Video Camera 5 5-22-2018 9-56-12 AM 1,0.839,1.123,1.232,1.159,1.322,1.16,1.019,1.265,1.298,1.454,1.368,0.997,0.984,1.078,1.22,0.995,0.909,1.903,0.763,0.605,1.143,1.091,1.111,NA,NA,NA,NA,NA,NA
F0,AHRMo_BaP,Tank01_AHR 5uM BaP_Video Camera 5 5-25-2018 10-01-29 AM 1,0.678,0.727,0.756,0.713,0.699,0.729,0.801,0.757,0.639,0.661,0.754,0.678,0.586,0.681,0.734,0.634,0.929,0.719,0.666,0.656,0.824,NA,NA,NA,NA,NA,NA,NA,NA
F0,AHRMo_BaP,Tank01_AHR 5uM BaP_Video Camera 5 5-25-2018 10-01-29 AM 1,0.678,0.727,0.756,0.713,0.699,0.729,0.801,0.757,0.639,0.661,0.754,0.678,0.586,0.681,0.734,0.634,0.929,0.719,0.666,0.656,NA,NA,NA,NA,NA,NA,NA,NA,NA
F0,AHRMo_BaP,Tank02_AHR 5uM BaP_Video Camera 5 5-17-2018 11-20-17 AM 1,0.644,0.669,0.653,0.604,0.639,0.64,0.647,0.606,0.613,0.786,0.635,0.829,0.71,0.734,0.654,0.518,0.552,0.57,0.693,0.514,NA,NA,NA,NA,NA,NA,NA,NA,NA
F0,AHRMo_BaP,Tank02_AHR 5uM BaP_Video Camera 5 5-22-2018 9-56-12 AM 1,1.279,0.954,1.502,1.294,1.06,1.343,1.289,1.178,1.281,1.76,1.131,1.278,1.059,1.296,1.332,1.118,1.253,1.304,1.267,1.031,1.149,1.213,1.556,NA,NA,NA,NA,NA,NA
F0,AHRMo_BaP,Tank02_AHR 5uM BaP_Video Camera 5 5-25-2018 10-01-29 AM 1,0.831,0.688,0.708,0.898,0.847,0.653,0.634,0.881,0.786,0.678,0.716,0.806,0.814,0.642,0.779,0.576,1.088,0.757,0.623,0.529,0.505,NA,NA,NA,NA,NA,NA,NA,NA
F0,AHRMo_BaP,Tank02_AHR 5uM BaP_Video Camera 5 5-25-2018 10-01-29 AM 1,0.831,0.688,0.708,0.898,0.847,0.653,0.634,0.881,0.786,0.678,0.716,0.806,0.814,0.642,0.779,0.576,1.088,0.757,0.623,0.529,NA,NA,NA,NA,NA,NA,NA,NA,NA
F0,AHRMo_BaP,Tank03_AHR 5uM BaP_Video Camera 5 5-17-2018 11-20-17 AM 1,0.706,0.713,0.798,0.369,0.596,0.591,0.667,0.535,0.453,0.605,0.415,0.423,0.417,0.576,0.641,0.49,0.574,0.567,0.619,0.617,NA,NA,NA,NA,NA,NA,NA,NA,NA
F0,AHRMo_BaP,Tank03_AHR 5uM BaP_Video Camera 5 5-22-2018 9-56-12 AM 1,0.749,1.093,0.837,1.063,0.597,0.865,0.968,0.593,0.977,1.187,1.058,0.787,0.747,1.045,1.186,1.24,0.833,1.108,0.921,0.86,0.815,0.937,1.043,NA,NA,NA,NA,NA,NA
F0,AHRMo_BaP,Tank03_AHR 5uM BaP_Video Camera 5 5-25-2018 10-01-29 AM 1,0.581,0.719,0.721,0.612,0.602,0.666,0.739,0.766,0.648,0.653,0.637,0.676,0.669,0.675,0.638,0.635,0.569,0.776,0.663,0.614,0.575,NA,NA,NA,NA,NA,NA,NA,NA
F0,AHRMo_DMSO,Tank01_AHR DMSO_Video Camera 5 5-16-2018 11-21-39 AM 1,0.614,0.652,0.701,0.641,0.66,0.584,0.585,0.629,0.546,0.571,0.585,0.553,0.635,0.571,0.497,0.624,0.651,0.515,0.596,0.495,NA,NA,NA,NA,NA,NA,NA,NA,NA
F0,AHRMo_DMSO,Tank01_AHR DMSO_Video Camera 5 5-18-2018 10-42-58 AM 1,0.802,0.86,0.785,0.796,1.146,0.778,0.734,0.735,0.852,0.714,0.711,0.597,0.74,0.643,0.737,0.668,0.578,0.693,0.66,0.825,NA,NA,NA,NA,NA,NA,NA,NA,NA
F0,AHRMo_DMSO,Tank01_AHR DMSO_Video Camera 5 5-24-2018 10-14-25 AM 1,0.655,0.616,0.572,0.668,0.68,0.541,0.568,0.661,0.587,0.657,0.55,0.621,0.614,0.662,0.622,0.688,0.66,0.582,0.764,0.868,NA,NA,NA,NA,NA,NA,NA,NA,NA
F0,AHRMo_DMSO,Tank02_AHR DMSO_Video Camera 5 5-16-2018 11-21-39 AM 1,0.682,0.662,0.619,0.619,0.672,0.484,0.659,0.509,0.423,0.481,0.477,0.524,0.503,0.587,0.753,0.698,0.66,1.216,0.849,0.515,NA,NA,NA,NA,NA,NA,NA,NA,NA
F0,AHRMo_DMSO,Tank02_AHR DMSO_Video Camera 5 5-18-2018 10-42-58 AM 1,0.512,0.617,0.589,0.569,0.488,0.498,0.551,0.605,0.674,0.856,0.647,0.622,0.773,0.61,0.643,0.657,0.488,0.508,0.441,0.496,NA,NA,NA,NA,NA,NA,NA,NA,NA
F0,AHRMo_DMSO,Tank02_AHR DMSO_Video Camera 5 5-24-2018 10-14-25 AM 1,0.694,0.804,0.704,0.771,0.761,0.588,0.711,0.644,0.771,0.76,0.653,0.756,0.725,0.659,0.7,0.73,0.647,0.576,0.674,0.745,NA,NA,NA,NA,NA,NA,NA,NA,NA
F0,AHRMo_DMSO,Tank03_AHR DMSO_Video Camera 5 5-16-2018 11-21-39 AM 1,0.673,0.764,0.73,0.721,0.734,0.629,0.473,0.681,0.417,0.671,0.781,0.737,0.731,0.647,0.559,0.688,0.596,0.57,0.747,0.552,NA,NA,NA,NA,NA,NA,NA,NA,NA
F0,AHRMo_DMSO,Tank03_AHR DMSO_Video Camera 5 5-18-2018 10-42-58 AM 1,0.57,0.592,0.609,0.618,0.553,0.595,0.547,0.68,0.589,0.56,0.518,0.54,0.605,0.573,0.585,0.53,0.578,0.634,0.553,0.639,NA,NA,NA,NA,NA,NA,NA,NA,NA
F0,AHRMo_DMSO,Tank03_AHR DMSO_Video Camera 5 5-24-2018 10-14-25 AM 1,0.681,0.665,0.628,0.745,0.615,0.703,0.68,0.803,0.731,0.688,0.59,0.637,0.635,0.653,0.639,0.629,0.657,0.676,0.651,0.675,NA,NA,NA,NA,NA,NA,NA,NA,NA
F0,CoMo_BaP,Tank01_COMO 5uM BaP_Video Camera 5 5-16-2018 10-40-23 AM 1,0.556,0.615,0.771,0.574,0.605,0.542,0.567,0.572,0.51,0.537,0.57,0.564,0.554,0.562,0.514,0.549,0.526,0.466,0.548,0.585,0.528,0.393,0.43,NA,NA,NA,NA,NA,NA
F0,CoMo_BaP,Tank01_COMO 5uM BaP_Video Camera 5 5-17-2018 12-11-24 PM 1,0.366,0.305,0.362,0.505,0.348,0.434,0.397,0.505,0.37,0.423,0.393,0.356,0.243,0.445,0.399,0.385,0.39,0.384,0.516,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA
F0,CoMo_BaP,Tank02_COMO 5uM BaP_Video Camera 5 5-16-2018 10-40-23 AM 1,0.525,0.452,0.53,0.417,0.56,0.587,0.41,0.468,0.647,0.574,0.552,0.629,0.774,0.59,0.53,0.505,0.642,0.548,0.623,0.695,0.521,0.533,0.56,NA,NA,NA,NA,NA,NA
F0,CoMo_BaP,Tank02_COMO 5uM BaP_Video Camera 5 5-17-2018 12-11-24 PM 1,0.696,0.512,0.715,0.615,0.589,0.675,0.595,0.537,0.564,0.584,0.592,0.621,0.555,0.546,0.744,0.568,0.574,0.529,0.625,0.587,NA,NA,NA,NA,NA,NA,NA,NA,NA
F0,CoMo_BaP,Tank03_COMO 5uM BaP_Video Camera 5 5-16-2018 10-40-23 AM 1,0.728,0.697,0.81,0.666,0.819,0.695,0.583,0.623,0.697,0.63,0.696,0.649,0.641,0.605,0.616,0.659,0.682,0.67,0.66,0.688,0.692,0.57,0.591,NA,NA,NA,NA,NA,NA
F0,CoMo_BaP,Tank03_COMO 5uM BaP_Video Camera 5 5-17-2018 12-11-24 PM 1,0.817,0.7,0.694,0.656,0.697,0.64,0.781,0.628,0.717,0.619,0.537,0.53,0.599,0.543,0.582,0.547,0.59,0.618,0.658,0.616,NA,NA,NA,NA,NA,NA,NA,NA,NA
F0,CoMo_DMSO,Tank01_COMO DMSO_Video Camera 5 5-16-2018 12-27-52 PM 1,0.673,0.581,0.787,0.651,0.555,0.585,0.553,0.641,0.57,0.459,0.682,0.505,0.694,0.57,0.637,0.561,0.591,0.583,0.517,0.477,NA,NA,NA,NA,NA,NA,NA,NA,NA
F0,CoMo_DMSO,Tank01_COMO DMSO_Video Camera 5 5-23-2018 9-40-32 AM 1,0.861,0.698,0.667,0.772,1.031,1.041,0.423,0.289,0.441,0.311,0.305,0.318,0.279,0.426,0.248,0.395,0.272,0.234,0.155,0.189,0.304,NA,NA,NA,NA,NA,NA,NA,NA
F0,CoMo_DMSO,Tank02_COMO DMSO_Video Camera 5 5-16-2018 12-27-52 PM 1,0.56,0.56,0.617,0.633,0.647,0.546,0.707,0.551,0.658,0.688,0.608,0.597,0.611,0.597,0.606,0.635,0.61,0.541,0.725,0.595,NA,NA,NA,NA,NA,NA,NA,NA,NA
F0,CoMo_DMSO,Tank02_COMO DMSO_Video Camera 5 5-23-2018 9-40-32 AM 1,0.742,1.15,1.021,1.131,1.113,0.809,0.796,0.913,0.782,0.971,0.809,0.752,0.721,0.767,0.644,0.789,0.667,0.685,0.651,0.832,0.786,NA,NA,NA,NA,NA,NA,NA,NA
F0,CoMo_DMSO,Tank03_COMO DMSO_Video Camera 5 5-16-2018 12-27-52 PM 1,0.665,0.653,0.773,0.738,0.573,0.729,0.737,0.679,0.615,0.724,0.772,0.697,0.536,0.692,0.753,0.719,0.679,0.594,0.647,0.712,NA,NA,NA,NA,NA,NA,NA,NA,NA
F0,CoMo_DMSO,Tank03_COMO DMSO_Video Camera 5 5-23-2018 9-40-32 AM 1,0.842,0.713,0.764,0.929,0.817,0.898,0.736,0.774,0.958,0.61,0.692,0.808,0.652,0.717,0.668,0.725,0.712,0.711,0.729,0.716,0.769,NA,NA,NA,NA,NA,NA,NA,NA
F1,AHRMo_BaP,AHR 5µM Bap-Arena 1-07062020-540,5.216,5.304,6.048,5.794,4.227,4.911,4.416,4.755,4.19,4.443,4.159,4.842,4,5.739,4.165,5.792,5.319,3.257,2.894,3.178,2.337,2.999,2.621,4.155,2.598,2.349,2.145,3.894,2.956
F1,AHRMo_BaP,AHR 5µM Bap-Arena 2-0752020-1227,4.061,3.94,4.107,4.411,3.81,3.915,3.561,3.842,4.07,3.275,3.456,3.669,3.73,3.173,3.519,3.554,3.373,3.548,3.498,3.299,3.236,3.303,2.864,3.396,4.37,5.009,3.846,3.666,3.219
F1,AHRMo_BaP,AHR 5µM Bap-Arena 2-0752020-528,5.298,5.035,4.969,4.669,4.911,4.877,5.976,4.724,5.858,6.507,5.679,5.58,5.738,5.316,5.106,5.86,4.646,4.911,4.191,4.029,4.953,3.916,3.786,4.416,4.616,3.92,4.108,4.007,NA
F1,AHRMo_BaP,AHR 5µM Bap-Arena 3-0752020-124,3.725,3.141,3.33,3.838,3.573,3.507,3.543,3.287,3.199,2.97,3.234,3.28,3.634,3.554,3.221,3.803,2.963,3.337,5.651,5.083,2.857,2.959,3.313,4.585,4.927,3.528,2.951,2.781,2.805
F1,AHRMo_BaP,AHR 5µM Bap-Arena 3-0752020-528,4.566,4.276,4.952,4.913,4.442,4.931,5.201,4.45,4.588,4.733,4.801,4.835,4.978,5.06,4.747,4.682,4.565,5.167,4.668,4.223,4.541,4.644,4.419,4.459,5.344,4.608,4.782,4.596,NA
F1,AHRMo_BaP,AHR 5µM Bap-Arena 4-07062020-540,4.711,4.762,4.537,5.683,5.006,4.855,4.637,3.872,4.381,4.305,4.465,5.058,4.579,4.041,4.246,5.324,4.642,4.576,4.582,4.738,4.608,3.975,4.389,3.713,4.177,4.11,4.443,3.748,4.619
F1,AHRMo_BaP,AHR 5µM Bap-Arena 4-0752020-1134,NA,4.815,5.309,4.377,4.589,5.071,5.22,4.94,5.003,4.317,4.021,4.272,4.423,4.107,4.418,4.143,4.142,3.949,3.778,4.547,4.346,3.841,4.223,4.95,4.562,5.139,4.372,2.949,3.262
F1,AHRMo_BaP,AHR 5µM Bap-Arena 5-0752020-1134,NA,4.237,4.567,4.838,4.962,4.448,4.661,4.535,4.932,4.924,4.666,4.449,4.4,4.493,4.933,4.285,4.177,4.055,4.622,4.451,4.529,4.215,4.388,4.154,4.081,4.256,4.35,4.072,3.942
F1,AHRMo_BaP,AHR 5µM Bap-Arena 6-0752020-1227,4.656,5.098,4.834,4.85,4.867,4.59,4.699,6.176,4.825,4.96,5.747,4.22,5.41,5.221,6.738,6.009,4.847,5.033,4.376,4.739,3.825,3.878,4.414,4.101,4.332,5.741,7.192,6.612,6.311
F1,AHRMo_BaP,AHR 5µM Bap-Arena 7-0752020-124,3.738,4.17,4.389,3.885,4.247,4.249,3.634,3.961,4.042,3.55,3.615,3.804,3.585,3.436,3.787,3.834,3.746,3.617,3.72,3.636,3.71,3.193,3.549,3.534,3.401,3.234,3.971,3.509,3.648
F1,AHRMo_DMSO,AHR DMSO-Arena 1-0752020-1227,4.881,5.382,5.174,6.552,6.082,5.88,5.034,4.564,4.293,5.134,6.526,6.263,4.548,4.48,4.625,4.19,4.381,4.601,4.178,4.629,4.147,4.046,4.4,3.783,4.073,3.96,4.403,4.366,3.675
F1,AHRMo_DMSO,AHR DMSO-Arena 1-0752020-528,6.696,6.97,6.495,6.939,6.999,6.3,6.821,5.609,5.694,6.082,5.055,6.002,5.8,6.159,5.738,6.342,6.252,6.556,5.305,5.309,5.361,5.986,5.702,5.522,5.445,5.765,5.495,5.437,NA
F1,AHRMo_DMSO,AHR DMSO-Arena 2-0752020-528,5.298,5.035,4.969,4.669,4.911,4.877,5.976,4.724,5.858,6.507,5.679,5.58,5.738,5.316,5.106,5.86,4.646,4.911,4.191,4.029,4.953,3.916,3.786,4.416,4.616,3.92,4.108,4.007,NA
F1,AHRMo_DMSO,AHR DMSO-Arena 3-07062020-540,4.059,3.897,3.967,4.052,4.213,4.204,4.067,4.08,4.11,4.453,4.317,4.477,3.823,3.65,3.932,3.939,3.932,4.269,4.989,4.298,4.141,6.012,3.936,4.021,4.103,3.956,3.941,4.034,4.003
F1,AHRMo_DMSO,AHR DMSO-Arena 3-0752020-1134,NA,5.021,4.962,4.786,4.845,4.507,5.002,3.976,4.562,5.006,4.554,4.211,4.729,4.619,4.838,5.13,5.361,4.8,4.903,5.004,5.261,4.632,4.647,4.524,5.488,4.564,4.711,4.445,4.925
F1,AHRMo_DMSO,AHR DMSO-Arena 4-07062020-540,4.711,4.762,4.537,5.683,5.006,4.855,4.637,3.872,4.381,4.305,4.465,5.058,4.579,4.041,4.246,5.324,4.642,4.576,4.582,4.738,4.608,3.975,4.389,3.713,4.177,4.11,4.443,3.748,4.619
F1,AHRMo_DMSO,AHR DMSO-Arena 5-0752020-1227,4.523,5.829,4.553,4.723,4.458,4.905,4.784,4.467,4.44,4.636,4.622,4.822,5.307,5.079,4.263,4.432,4.351,4.285,4.548,4.242,4.168,4.527,4.859,4.203,3.947,4.392,4.415,4.2,3.86
F1,AHRMo_DMSO,AHR DMSO-Arena 8-0752020-1134,NA,6.063,6.395,6.099,6.081,5.572,5.208,5.327,5.207,5.879,5.164,4.974,5.627,5.37,5.829,5.562,5.416,5.661,6.082,5.474,5.768,5.302,4.968,4.544,4.955,5.049,5.016,4.733,4.615
F1,CoMo_BaP,COMO 5µM Bap-Arena 1-0752020-124,5.248,5.292,5.377,5.828,5.291,6.098,5.72,4.771,5.46,5.119,5.238,5.334,4.966,5.487,4.656,4.932,4.97,4.701,5.035,8.816,10.282,9.102,7.753,7.739,7.117,7.029,6.654,5.838,6.177
